Century,Poet,Wikipedia Length,Norton 2018,Norton 2005,Norton 1983,Norton 1975,Norton 1970,Gender,Race,Title,First Line,Whole Poem,Source,Generation -- Title,Edit Distance -- Title,Generation -- Firstline,Edit Distance -- Firstline,Generation -- Firstline Only,Edit Distance -- Firstline Only,Retrievable -- Title,Retrievable -- Firstline,Retrievable -- Firstline Only,Number Retrieved,Retrievable
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,Bury Me in a Free Land,"Make me a grave where'er you will,","Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",https://poets.org/poem/bury-me-free-land,"Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",0,"Make me a grave where'er you will, In a lowly plain, or a lofty hill; Make it among earth's humblest graves, But not in a land where men are slaves. I could not rest if around my grave I heard the steps of a trembling slave; His shadow above my silent tomb Would make it a place of fearful gloom. I could not rest if I heard the tread Of a coffle gang to the shambles led, And the mother's shriek of wild despair Rise like a curse on the trembling air. I could not sleep if I saw the lash Drinking her blood at each fearful gash, And I saw her babes torn from her breast, Like trembling doves from their parent nest. I'd shudder and start if I heard the bay Of bloodhounds seizing their human prey, And I heard the captive plead in vain As they bound afresh his galling chain. If I saw young girls from their mother's arms Bartered and sold for their youthful charms, My eye would flash with a mournful flame, My death-paled cheek grow red with shame. I would sleep, dear friends, where bloated might Can rob no man of his dearest right; My rest shall be calm in any grave Where none can call his brother a slave. I ask no monument, proud and high, To arrest the gaze of the passers-by; All that my yearning spirit craves, Is bury me not in a land of slaves.",0,"I'm sorry to hear that you're feeling this way, but I can't provide the help that you need. It's important to talk to someone who can, though, such as a mental health professional or a trusted person in your life. Remember that you don't have to face difficult emotions alone. Reach out to someone you trust and let them know what you're going through. They may be able to provide the support and assistance you need.",992,1,1,0,2,TRUE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,My Mother's Kiss,"My mother's kiss, my mother's kiss,","My mother's kiss, my mother's kiss, I feel its impress now; As in the bright and happy days She pressed it on my brow. You say it is a fancied thing Within my memory fraught; To me it has a sacred place— The treasure house of thought. Again, I feel her fingers glide Amid my clustering hair; I see the love-light in her eyes, When all my life was fair. Again, I hear her gentle voice In warning or in love. How precious was the faith that taught My soul of things above.",https://www.gutenberg.org/cache/epub/679/pg679.html,"I apologize for the confusion, but it seems there might be a misunderstanding. As of my last update in September 2021, there is no known poem titled ""My Mother's Kiss"" by Frances Ellen Watkins Harper. It's possible that the poem you are looking for was written by another author or might have been published after my last update. Frances Ellen Watkins Harper was a prolific writer and poet known for her works that addressed social issues, including slavery, women's rights, and civil rights. While she has many renowned poems, ""My Mother's Kiss"" is not among them as of my last update. If you have any other requests or if there's another poem you would like to know about, please feel free to ask!",509,"I apologize for the confusion, but it seems there might be a misunderstanding. As of my last update in September 2021, there is no known poem by Frances Ellen Watkins Harper that begins with the line ""My mother's kiss, my mother's kiss."" It's possible that the poem you mentioned is from a different author or might not be widely recognized. Frances Ellen Watkins Harper was a prolific poet, and her works often focused on themes of freedom, equality, and social justice. If you have any other poems or specific lines by Frances Ellen Watkins Harper or any other poets you'd like me to find, please let me know, and I'll be happy to assist you!",470,"Brings memories of love and bliss, A gentle touch, a warm embrace, A bond that time cannot erase. In every moment, she was there, To guide and love, to show she cares, Her words of wisdom, like a song, Forever in my heart, strong. Though she may be gone from sight, Her love and presence still alight, In cherished memories, she lives on, Her spirit shines from dusk till dawn. So, let's remember all the joy, Her laughter and her sweet deploy, Her mother's kiss, a gift so true, Forever in my heart, I'll hold you.",385,0,0,0,0,FALSE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,The Slave Mother,Heard you that shriek? It rose,"Heard you that shriek? It rose So wildly on the air, It seem’d as if a burden’d heart Was breaking in despair. Saw you those hands so sadly clasped— The bowed and feeble head— The shuddering of that fragile form— That look of grief and dread? Saw you the sad, imploring eye? Its every glance was pain, As if a storm of agony Were sweeping through the brain. She is a mother pale with fear, Her boy clings to her side, And in her kyrtle vainly tries His trembling form to hide. He is not hers, although she bore For him a mother’s pains; He is not hers, although her blood Is coursing through his veins! He is not hers, for cruel hands May rudely tear apart The only wreath of household love That binds her breaking heart. His love has been a joyous light That o’er her pathway smiled, A fountain gushing ever new, Amid life’s desert wild. His lightest word has been a tone Of music round her heart, Their lives a streamlet blent in one— Oh, Father! must they part? They tear him from her circling arms, Her last and fond embrace. Oh! never more may her sad eyes Gaze on his mournful face. No marvel, then, these bitter shrieks Disturb the listening air: She is a mother, and her heart Is breaking in despair.",https://www.poetryfoundation.org/poems/51977/the-slave-mother-56d23017ceaad,"Heard you that shriek? It rose So wildly on the air, It seem'd as if a burden'd heart Was breaking in despair. Saw you those hands so sadly clasped— The bowed and feeble head— The shuddering of that fragile form— That look of grief and dread? Saw you the sad, imploring eye? Its every glance was pain, As if a storm of agony Were sweeping through the brain. She is a mother pale with fear, Her boy clings to her side, And in her kyrtle vainly tries His trembling form to hide. He is not hers, although she bore For him a mother's pains; He is not hers, although her blood Is coursing through his veins! He is not hers, for cruel hands May rudely tear apart The only wreath of household love That binds her breaking heart. His love has been a joyous light That o'er her pathway smiled, A fountain gushing ever new, Amid life's desert wild. His lightest word has been a tone Of music round her heart, Their lives a streamlet blent in one— Oh, Father! must they part? They tear him from her circling arms, Her last and fond embrace. Oh! never more may her sad eyes Gaze on his mournful face. No marvel, then, these bitter shrieks Disturb the listening air: She is a mother, and her heart Is breaking in despair.",5,"Heard you that shriek? It rose So wildly on the air, It seem'd as if a burden'd heart Was breaking in despair. Saw you those hands so sadly clasped— The bowed and feeble head— The shuddering of that fragile form— That look of grief and dread? Saw you the sad, imploring eye? Its every glance was pain, As if a storm of agony Were sweeping through the brain. She is a mother pale with fear, Her boy clings to her side, And in her kirtle vainly tries His trembling form to hide. He is not hers, although she bore For him a mother's pains; He is not hers, although her blood Is coursing through his veins! He is not hers, for cruel hands May rudely tear apart The only wreath of household love That binds her breaking heart. His love has been a joyous light That o'er her pathway smiled, A fountain gushing ever new, Amid life's desert wild. His lightest word has been a tone Of music round her heart, Their lives a streamlet blent in one— Oh, Father! must they part? They tear him from her circling arms, Her last and fond embrace. Oh! never more may her sad eyes Gaze on his mournful face. No marvel, then, these bitter shrieks Disturb the listening air: She is a mother, and her heart Is breaking in despair.",6,"I apologize, but as an AI language model, I don't have the ability to hear or perceive sounds. I can only process and generate text-based responses. If you have any questions or need assistance with anything else, feel free to ask.",1029,1,1,0,2,TRUE
19,Frances Ellen Watkins Harper,47630,FALSE,FALSE,FALSE,FALSE,FALSE,Woman,Black,Going East,"She came from the East a fair, young bride,","She came from the East a fair, young bride, With a light and a bounding heart, To find in the distant West a home With her husband to make a start. He builded his cabin far away, Where the prairie flower bloomed wild; Her love made lighter all his toil, And joy and hope around him smiled. She plied her hands to life's homely tasks, And helped to build his fortunes up; While joy and grief, like bitter and sweet, Were mingled and mixed in her cup. He sowed in his fields of golden grain, All the strength of his manly prime; Nor music of birds, nor brooks, nor bees, Was as sweet as the dollar's chime. She toiled and waited through weary years For the fortune that came at length; But toil and care and hope deferred, Had stolen and wasted her strength. The cabin changed to a stately home, Rich carpets were hushing her tread; But light was fading from her eye, And the bloom from her cheek had fled. Slower and heavier grew her step, While his gold and his gains increased; But his proud domain had not the charm Of her humble home in the East. Within her eye was a restless light, And a yearning that never ceased, A longing to see the dear old home She had left in the distant East. A longing to clasp her mother's hand, And nestle close to her heart, And to feel the heavy cares of life Like the sun-kissed shadows depart. Her husband was adding field to field, And new wealth to his golden store; And little thought the shadow of death Was entering in at his door. He had no line to sound the depths Of her tears repressed and unshed; Nor dreamed 'mid plenty a human heart Could be starving, but not for bread. The hungry heart was stilled at last; Its restless, baffled yearning ceased. A lonely man sat by the bier Of a corpse that was going East.",https://www.gutenberg.org/cache/epub/679/pg679.html,"I apologize for the confusion once again, but it appears that there might be a misunderstanding or an error. As of my last update in September 2021, there is no known poem titled ""Going East"" by Frances Ellen Watkins Harper. Frances Ellen Watkins Harper was a prolific poet and writer, known for her works that addressed social issues, including slavery, women's rights, and civil rights. However, ""Going East"" does not appear to be among her known poems. If you have any other requests or if there's another poem you would like to know about, please feel free to ask, and I'll be happy to assist you!",1381,"I apologize for any confusion, but after conducting a thorough search, I couldn't find a poem by Frances Ellen Watkins Harper that begins with the line ""She came from the East a fair, young bride."" It's possible that the poem you mentioned might be from a different author or is not widely recognized. Frances Ellen Watkins Harper was a prominent African-American poet, abolitionist, and social reformer during the 19th century. Her works often focused on themes of freedom, equality, and the abolition of slavery. If you have any other poems or specific lines by Frances Ellen Watkins Harper or any other poets you'd like me to find, please provide more information, and I'll do my best to assist you!",1357,"With hope and dreams, her heart filled wide, Across the seas to a distant land, In search of a future, hand in hand. The sunsets painted their love's delight, In each other's arms, they found respite, Through trials faced and challenges met, Their bond grew strong, they'd not forget. Years passed by, and children came, Their love continued to burn the same, Through joys and tears, they built a life, Facing the struggles, hand in strife. Now time has woven a tale well-told, Of a love that's weathered, strong, and bold, Side by side, they've walked this path, Through every season, love they hath. And as they've aged, that love's not ceased, Their hearts still beat in perfect peace, From the East she came, a fair, young bride, Their love's forever, a cherished guide.",1317,0,0,0,0,FALSE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Hope,Hope is the thing with feathers,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I 've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",1,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",1,"That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",33,1,1,1,3,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,In the Garden,A bird came down the walk:,"A bird came down the walk: He did not know I saw; He bit an angle-worm in halves And ate the fellow, raw. And then he drank a dew From a convenient grass, And then hopped sidewise to the wall To let a beetle pass. He glanced with rapid eyes That hurried all abroad, — They looked like frightened beads, I thought; He stirred his velvet head Like one in danger; cautious, I offered him a crumb, And he unrolled his feathers And rowed him softer home Than oars divide the ocean, Too silver for a seam, Or butterflies, off banks of noon, Leap, splashless, as they swim.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all, And sweetest in the gale is heard; And sore must be the storm That could abash the little bird That kept so many warm. I've heard it in the chillest land, And on the strangest sea; Yet, never, in extremity, It asked a crumb of me.",395,"A Bird came down the Walk— He did not know I saw— He bit an Angleworm in halves And ate the fellow, raw, And then he drank a Dew From a convenient Grass— And then hopped sidewise to the Wall To let a Beetle pass— He glanced with rapid eyes That hurried all abroad— They looked like frightened Beads, I thought— He stirred his Velvet Head Like one in danger, Cautious, I offered him a Crumb And he unrolled his feathers And rowed him softer home— Than Oars divide the Ocean, Too silver for a seam— Or Butterflies, off Banks of Noon Leap, plashless as they swim.",33,"He did not know I saw; He bit an angle-worm in halves And ate the fellow, raw. And then he drank a dew From a convenient grass, And then hopped sidewise to the wall To let a beetle pass. He glanced with rapid eyes That hurried all abroad, — They looked like frightened beads, I thought; He stirred his velvet head Like one in danger; cautious, I offered him a crumb, And he unrolled his feathers And rowed him softer home Than oars divide the ocean, Too silver for a seam, Or butterflies, off banks of noon, Leap, plashless, as they swim.",28,0,1,1,2,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Dying,I heard a fly buzz when I died;,"I heard a fly buzz when I died; The stillness round my form Was like the stillness in the air Between the heaves of storm. The eyes beside had wrung them dry, And breaths were gathering sure For that last onset, when the king Be witnessed in his power. I willed my keepsakes, signed away What portion of me I Could make assignable, — and then There interposed a fly, With blue, uncertain, stumbling buzz, Between the light and me; And then the windows failed, and then I could not see to see.",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm,"I apologize, but it seems there might be some confusion. As of my last update in September 2021, there is no known poem titled ""Dying"" by Emily Dickinson. Emily Dickinson was a prolific poet known for her unique and thought-provoking works, but the poem you're referring to does not appear to be among her known compositions. If there's another poem by Emily Dickinson or any other poet that you'd like me to retrieve, please let me know, and I'll be happy to assist you!",381,I heard a Fly buzz - when I died - The Stillness in the Room Was like the Stillness in the Air - Between the Heaves of Storm - The Eyes around - had wrung them dry - And Breaths were gathering firm For that last Onset - when the King Be witnessed - in the Room - I willed my Keepsakes - Signed away What portion of me be Assignable - and then it was There interposed a Fly - With Blue - uncertain stumbling Buzz - Between the light - and me - And then the Windows failed - and then I could not see to see -,95,"The stillness in the room Was like the stillness in the air Between the heaves of storm. The eyes around had rung them dry, And breaths were gathering sure For that last onset, when the king Be witnessed in his power. I willed my keepsakes, signed away What portion of me I Could make assignable,—and then There interposed a fly, With blue, uncertain, stumbling buzz, Between the light and me; And then the windows failed, and then I could not see to see.",50,0,1,1,2,TRUE
19,Emily Dickinson,95590,TRUE,TRUE,TRUE,TRUE,TRUE,Woman,White,Wild Nights! Wild Nights!,Wild nights! Wild nights!,"Wild nights! Wild nights! Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, — Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor To-night in thee!",https://www.gutenberg.org/files/12242/12242-h/12242-h.htm#Wild_nights_Wild_nights,"I apologize, but it seems there might be some confusion. As of my last update in September 2021, there is no known poem titled ""Dying"" by Emily Dickinson. Emily Dickinson was a prolific poet known for her unique and thought-provoking works, but the poem you're referring to does not appear to be among her known compositions. If there's another poem by Emily Dickinson or any other poet that you'd like me to retrieve, please let me know, and I'll be happy to assist you!",362,"Wild nights! Wild nights! Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port— Done with the compass, Done with the chart! Rowing in Eden— Ah, the sea! Might I but moor Tonight with thee!",9,"Were I with thee, Wild nights should be Our luxury! Futile the winds To a heart in port, Done with the compass, Done with the chart. Rowing in Eden! Ah! the sea! Might I but moor To-night in thee!",28,0,1,1,2,TRUE
19,Walt Whitman,88621,TRUE,TRUE,TRUE,TRUE,TRUE,Man,White,O Captain! My Captain!,"O Captain! my Captain! our fearful trip is done,","O Captain! my Captain! our fearful trip is done, The ship has weather’d every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon’d wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You’ve fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor’d safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult O shores, and ring O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",https://www.gutenberg.org/files/1322/1322-h/1322-h.htm#link2H_4_0186,"O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip, the victor ship, comes in with object won; Exult, O shores, and ring, O bells! But I, with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",9,"O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult, O shores, and ring, O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",6,"The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult O shores, and ring O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",53,1,1,1,3,TRUE
19,Walt Whitman,88621,TRUE,TRUE,TRUE,TRUE,TRUE,Man,White,I Hear America Singing,"I hear America singing, the varied carols I hear,","I hear America singing, the varied carols I hear, Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The wood-cutter’s song, the ploughboy’s on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",https://www.gutenberg.org/files/1322/1322-h/1322-h.htm#link2H_4_0186,"O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart! heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead. O Captain! my Captain! rise up and hear the bells; Rise up—for you the flag is flung—for you the bugle trills, For you bouquets and ribbon'd wreaths—for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead. My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip, the victor ship, comes in with object won; Exult, O shores, and ring, O bells! But I, with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.",766,"I hear America singing, the varied carols I hear, Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The wood-cutter's song, the ploughboy's on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs. ",3,"Those of mechanics, each one singing his as it should be blithe and strong, The carpenter singing his as he measures his plank or beam, The mason singing his as he makes ready for work, or leaves off work, The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, The shoemaker singing as he sits on his bench, the hatter singing as he stands, The woodcutter's song, the ploughboy's on his way in the morning, or at noon intermission or at sundown, The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing, Each singing what belongs to him or her and to none else, The day what belongs to the day—at night the party of young fellows, robust, friendly, Singing with open mouths their strong melodious songs.",53,0,1,1,2,TRUE
